task,split_mode,missingness_name,missingness_mechanism,missingness_scope,method,accuracy,balanced_accuracy,brier,fit_seconds
ACSIncome,geographic,mnar_20_train_prediction,mnar,train_and_prediction,reweighing,0.7676873333333333,0.7554626797871901,0.1629978026719257,11.512879551295555
ACSIncome,geographic,mnar_50_train_prediction,mnar,train_and_prediction,reweighing,0.7673293333333333,0.754200843687887,0.16320088872459187,11.510466220723362
ACSIncome,geographic,none_observed,mcar,train_and_prediction,reweighing,0.7675926666666667,0.7558631330187257,0.16291040168796223,11.422072564385802
ACSIncome,geographic,full,mcar,train_and_prediction,threshold_optimizer_eo,0.6587326666666666,0.6713964817897478,0.34126733333333337,7.890376155624839
ACSIncome,geographic,mcar_10_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.6730499999999999,0.674842389100522,0.32694999999999996,7.595627777321366
ACSIncome,geographic,mcar_20_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.6730806666666667,0.6539508587708039,0.32691933333333334,7.694196209951973
ACSIncome,geographic,mcar_40_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.6566513333333334,0.6580338479705026,0.34334866666666664,7.7022640462497804
ACSIncome,geographic,mcar_50_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.663208,0.6667322574086535,0.336792,7.751757871880196
ACSIncome,geographic,mcar_60_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.649624,0.6634475142683238,0.35037599999999997,7.7623697523046
ACSIncome,geographic,mcar_80_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.65707,0.6676428865392176,0.34292999999999996,7.804912383353228
ACSIncome,geographic,mnar_10_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.6776626666666666,0.6658578566797316,0.3223373333333333,7.459768144626665
ACSIncome,geographic,mnar_20_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.667812,0.6701487406627428,0.332188,7.656744846170091
ACSIncome,geographic,mnar_50_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.6637413333333334,0.6583171585692699,0.33625866666666665,7.702211178474841
ACSIncome,geographic,none_observed,mcar,train_and_prediction,threshold_optimizer_eo,0.7555553333333334,0.7618144412701353,0.24444466666666664,7.13175169185274
ACSIncome,temporal,full,mcar,train_and_prediction,erm,0.7501995502071612,0.7114970341586698,0.16679387064646609,12.211495536472041
ACSIncome,temporal,mcar_10_train_prediction,mcar,train_and_prediction,erm,0.7501995502071612,0.7114970341586698,0.16679387064646609,11.807306101601414
ACSIncome,temporal,mcar_20_train_prediction,mcar,train_and_prediction,erm,0.7501995502071612,0.7114970341586698,0.16679387064646609,11.794141370133245
ACSIncome,temporal,mcar_40_train_prediction,mcar,train_and_prediction,erm,0.7501995502071612,0.7114970341586698,0.16679387064646609,11.812194611068843
ACSIncome,temporal,mcar_50_train_prediction,mcar,train_and_prediction,erm,0.7501995502071612,0.7114970341586698,0.16679387064646609,11.822208251798292
ACSIncome,temporal,mcar_60_train_prediction,mcar,train_and_prediction,erm,0.7501995502071612,0.7114970341586698,0.16679387064646609,11.793845074397693
ACSIncome,temporal,mcar_80_train_prediction,mcar,train_and_prediction,erm,0.7501995502071612,0.7114970341586698,0.16679387064646609,11.783172819866195
ACSIncome,temporal,mnar_10_train_prediction,mnar,train_and_prediction,erm,0.7501995502071612,0.7114970341586698,0.16679387064646609,11.80846085826585
ACSIncome,temporal,mnar_20_train_prediction,mnar,train_and_prediction,erm,0.7501995502071612,0.7114970341586698,0.16679387064646609,11.81439642160185
ACSIncome,temporal,mnar_50_train_prediction,mnar,train_and_prediction,erm,0.7501995502071612,0.7114970341586698,0.16679387064646609,11.807211850870772
ACSIncome,temporal,none_observed,mcar,train_and_prediction,erm,0.7501995502071612,0.7114970341586698,0.16679387064646609,11.798305618667534
ACSIncome,temporal,full,mcar,train_and_prediction,feature_mixing,0.7516247027694009,0.7154583214662618,0.1662084994185769,74.83998677333388
ACSIncome,temporal,mcar_10_train_prediction,mcar,train_and_prediction,feature_mixing,0.7516247027694009,0.7154583214662618,0.1662084994185769,74.42485221579572
